Category;Question;Answer;Info
General;Перечислите четыре основных ĸомпонента Android приложения;activity, service, broadcast receiver, content provider;https://developer.android.com/guide/components/fundamentals?hl=ru
Activity;Из каких этапов(коллбэков) состоит жизненный циĸл аĸтивити?;onCreate -> onStart -> onResume -> (Activity running) -> onPause -> onStop -> onDestroy;https://developer.android.com/guide/components/activities/activity-lifecycle
Activity;Каĸие методы жизненного циĸла будут вызваны после старта другого активити?;onPause -> onStop;https://developer.android.com/guide/components/activities/activity-lifecycle
Activity;Дайте определение, что таĸое affinity и finishAffinity?;"affinity это связь активити со своим task(задачей)
finishAffinity - завершит все активити в этом task(задаче)
";https://developer.android.com/guide/topics/manifest/activity-element#aff
Activity;Что таĸое Window?;Класс, который отвечает за отрисовку стандартных компонентов системы на экране(статус бар, системные кнопки и т.д.);https://developer.android.com/reference/android/view/Window
Activity;Какие флаги запуска активити есть(launchMode)?;"standart. Установлен по умолчанию. Запускает новый инстанс активити в той же задаче(task), с таким флагом активити может иметь любое количество экземпляров себя в свой же задаче и в других
singleTop. Если активити уже есть на верхушке(top) задачи(task), то новое активити создаваться не будет, а будет редирект на уже имеющееся активити, но если это активити не на верху задачи, то будет создан еще один экземпляр активити
singleTask. Активити запущенное с таким флагом будет запущено в новой задаче, но если такое активити уже есть в другой задачи, то будет редирект на это активити
singleInstance. В каждой задаче может быть только один экземпляр этого активити. Все активити, которые запускаются из этого активити, будут запускаться в отдельной задаче.
";https://developer.android.com/guide/components/activities/tasks-and-back-stack#TaskLaunchModes 
General;Из каких этапов(коллбэков) состоит жизненный циĸл Fragment;onAttach -> onCreate -> onCreateView -> onActivityCreated -> onStart -> onResume -> (Fragment running) -> onPause -> onStop -> onDestroyView -> onDetach;https://developer.android.com/guide/fragments
General;Из каких этапов(коллбэков) состоит жизненный циĸл Service и IntentService?;"Service: onCreate -> onBind -> (Service running) -> onUnbind -> onDestroy
IntentService: onCreate -> onStartCommand -> (Do task) -> onDestroy";https://developer.android.com/guide/components/services?hl=ru
View;Из каких этапов состоит жизненный циĸл View;"Constructor -> onAttachToWindow -> onMeasure -> onLayout -> onDraw -> UI shown
";https://medium.com/@sahoosunilkumar/understanding-view-lifecycle-in-android-e42890aab16
View;В чем разница между view и viewgroup?;"View это единичный элемент отображения, а ViewGroup это своего рода контейнер под другие View или ViewGroup
";https://developer.android.com/reference/android/view/View
Java;"Что означает ĸлючевое слово static?
";Если мы помечаем этим ключевым словом класс/переменную/метод, то мы можем получить доступ к ним без создания объекта этого класса;https://javadevblog.com/chto-takoe-static-v-java-staticheskie-metody-peremenny-e-staticheskij-blok-i-java-klass.html
Java;В чем особенность блоĸа finally? Всегда ли он исполняется?;Блок finally выполняется в конструкции try-catch-finally и он будет выполняться всегда, даже когда исключение не было брошено. Это хорошее место в коде, чтобы высвобождать ресурсы.;https://www.frolov-lib.ru/programming/javasamples/vol1/vol1_9/index.html
Kotlin;Что такое Unit? (дайте определение);Unit это реализации функций которые ничего не возвращают. То есть в Java такие функции помечаются ключевым словом void. А в Kotlin таким функциям устанавливается тип возвращаемого значения Unit(по умолчанию, если у функции не указан тип возвращаемого значения, то он Unit);
General;Что такое TDD? (дайте определение);TDD это Test Driven Development, парадигма разработки при которой, сначала пишутся тесты, которые должные быть успешно пройдены, а потом уже сам исполняемый код.;
